"acc_rep_num ","company_code","DIST_CODE","report_date","ip_number","accident_dt_time","shift_code","plce_of_acc","road_name1","acc_type","nature_of_acc","wthr_code","road_sur_code","op_hrs_code","type_loc_code","traf_vol_code","traf_flow_code","traf_cntrl_code","col_with_code","type_of_col_code","srs_inj","minor_inj","fatal","bus_towed","sketch","photo_taken","mech_fault","pol_report","pol_rep_num","dutyio_code","release_status","damage_to_bus","Facts_txt","brief_part","rsn_for_late_rep","create_by","create_dt","modify_by","modify_dt","mig_flag","off_on_svc"
"W00532015","02","SW","06/01/2015","201500143","29/12/2014 15:15","1","ang mo kio ave 3 bef slip rd YCK Rd","ang mo kio ave 3","1","1","1","1","18","33","3","1","1","70","54","0","0","0","N","Y","Y","N","N","","26","R","sbs8145P - NS front v/mirror damaged, HCRG and sbs3694D,svc74,HCRG, OS rear corner panel scratches","I was following behind sbs3694D. I was the front said bus applied right signal. I also applied right signal.Suddenly the front bus slowed down. As my bus was following too close my nearside front v/mirror grazed agaisnt the OS rear corner panelof front bus causing damage. no injury. that is all","","bc reported to Rg on 30/12. district rcvd on 31/12","wdssof01","06/01/2015 09:42","","06/01/2015 09:42","","N"
"W01432015","02","SW","08/01/2015","201500143","29/12/2014 15:25","1","AMK Ave 3 bef slip rd YCK Rd","ang mo kio ave 3","1","1","1","1","22","33","3","3","1","70","54","0","0","0","N","Y","Y","N","N","","26","R","sbs3694D - rear OS corner panel scratches, HCRG","I was moving alg AMK Ave 3 twds HG ave 2. There were a few cars stopped infront of my bus. While waiting for the vehicles to move forward suddenly I heard bang from the rear. I checked and realsied my rear panel hit by v/mirror of behind SBS8145P.Damage to both buses. no injury. that is all","","district rcvd report on 06/01","wdssof01","08/01/2015 10:46","","08/01/2015 10:46","","N"
"E01062015","02","SE","07/01/2015","201500168","05/01/2015 16:03","2","Opp Sch Of Science & Tech","C'wealth Ave West","1","1","1","1","5","33","2","3","6","70","54","0","0","0","N","Y","Y","N","N","","21","R","SBS2836T, Right front bumper damaged","During incident period I intend to depart my bus (166) out from the said  b/stop when a m/taxi (SHB4769J) encroach my lane from my right and grazed my bus. Bus RTI to CLI to be assessed by ARM after consulted CRS and exchanged particulars withNo one was injured and we exchanged our particulars. Bus RTI to CLI to be assessed by ARM after consulted CRS. Thats all.","","","amoppr10","07/01/2015 12:22","amoppr10","07/01/2015 12:27","","N"
"W00352015","02","SW","05/01/2015","201500176","04/01/2015 16:58","2","Jurong West Ave 4 X Jln Boon Lay","Jurong West Ave 4","1","1","1","1","3","27","3","3","1","70","57","0","0","0","N","Y","N","N","N","","26","R","SBS8942E - Rear bumper no damaged ( BLRG )","I was driving my bus at the 2nd right lane of JR West Ave 4 heading to infront controlled x-junct of Jln Boon Lay. It was green light & when I saw green light had turned into amber light I then braked to stop my bus but my bus front portion had stopat the ped crossing on seeing I wanted to reverse my bus. I make a check behind it was clear I then reversed but I wasnt awared there was accident until when I saw a person had alighted I alighted to check & then found out that the rear bumperof my bus had collided onto behind m/car SKQ2421K. I had make a check & confirmed both bus & car had no damaged WOCC informed & exchange particulars & cont my svc.","","","jradaa01","05/01/2015 09:39","","05/01/2015 09:39","","N"
"W00882015","02","SW","06/01/2015","201500177","04/01/2015 19:00","2","Jurong Rd aft Bt Batok Rd","Jurong Road","1","1","1","1","9","42","3","1","5","85","83","0","0","0","N","Y","N","N","N","","26","R","SBS3755L - Upp Deck roof top corner panel damaged","Aft paxs activities at bus bay 22.3 KM along JR Rd I then swerved my bus to the right & didnt noticed there was a tree trunk jutting out as a result when I heard sound came from my bus & I thought my bus had grazed against something therefore Idid not stop to check. When I reached BLI aft parking my bus I alighted to check & then saw my bus at the upp deck left top corner panel a tree trunk had stucked onto the bus panel. ARM Loh & WOCC informed.","","","jradaa01","06/01/2015 15:41","","06/01/2015 15:41","","N"
"E01492015","02","SE","08/01/2015","201500223","06/01/2015 15:00","2","KEPPEL ROAD BUS STOP","KEPPEL ROAD","2","1","2","2","3","42","4","2","5","86","58","0","0","0","N","Y","N","N","Y","E/2015","14","R","NO DMG","I stopped keppel road bus stop to alight passengers. Suddenly there was a female chinese in mid 20s boarded the bus from the side mirror blind spot. When I pressed the button to close the door the door almost closed but did not hit the passenger.The female passenger did not complain to me. She tapped her card and sit down. My Route Master informed me that she sent email to inform the matter. No injury. That s all.","","","edsfof02","08/01/2015 12:00","edsfof02","09/01/2015 08:12","","N"
"W01072015","02","SW","07/01/2015","201500225","06/01/2015 16:00","2","Tuas West Rd / Tuas West Dr","Tuas West Rd","1","1","1","2","2","27","3","3","1","70","60","0","0","0","N","Y","N","N","N","","14","R","SBS2770Z - Rear bumper damaged, body slight dented ( BLRG )","I had stopped my bus at the 1st extremely right outer lane Tuas West Rd comply to traffic red light at junct Tuas West Dr. Shortly when I heard sound bang came from the rear of my bus. I alighted to check proceed to the rear of my bus & I saw acontainer XD4840K front portion had collided into the rear portion of my bus. WOCC informed. Exchange particulars.Tr paxs & I was told to RTD.","","","jradaa01","07/01/2015 12:23","","07/01/2015 12:23","","N"
"W01862015","02","SW","09/01/2015","201500229","06/01/2015 21:35","2","tanjong kling rd B22081","tanjong kling road","1","1","1","1","16","42","3","1","5","70","67","0","0","0","N","Y","Y","N","Y","t/2015","14","R","sbs9570M - LHS v/mirror glass cracked, BLRG","Approaching a/m bstop there was a grey lorry parked at the front of the bstop. Aft pax act I wanted to proceed out. I inched my vehicle to the right to overtake said lorry as it was obstructing. However upon turning right the lorry reversed andhit  onto the LHS v/mirror of my bus. I then overtook said lorry and stopped abt 20m away to avoid traffic obstruction. When I alighted from the bus lorry was nowhere to be found. I informed OCC. I did not note down lorry reg no. Pax transferred.I was instructed to wait for CRS.","","","wdssof01","09/01/2015 15:34","","09/01/2015 15:34","","N"
"W01932015","02","SW","12/01/2015","201500231","10/01/2015 11:50","1","boon lay way aft B20101","boon lay way","1","1","1","1","11","33","3","1","5","70","52","0","0","0","N","Y","Y","N","N","","14","R","sbs2763U - LHS v/mirror dropped, SGRG","I was behind a SMRT bus SMB 116K aft exiting B20101. While swerving out my LHS v/mirror hit said bus causing damage to both vehicles. No injuries. That is all","","","wdssof01","12/01/2015 08:22","","12/01/2015 08:22","","N"
"W02182015","02","SW","12/01/2015","201500234","10/01/2015 14:50","2","Alexandra Rd / Queensway","Queensway","1","1","1","1","2","22","1","1","2","70","54","0","0","0","N","Y","N","N","N","","14","R","SBS6189B - Left rear panel scratches, mudguard bent out ( BMRG )","I was driving my bus coming from Alex Rd turning left into a slip rd dir to Queensway. At the slip I was at the 1st left left comply to ped t/light red light. And infront there were many m/cars queuing awaiting to turn into shopping ctr & when Isaw ped light had turned to green light & infront m/cars still stationary on seeing I then filtered my bus to the extremely right to overtake a stop car SBH3897T in doing so the left rear of my bus grazed against the right rear corner of said car.I alighted to check WOCC informed exchange particulars & cont my svc.","","","jradaa01","12/01/2015 14:30","","12/01/2015 14:30","","N"
"W02212015","02","SW","12/01/2015","201500235","10/01/2015 19:05","2","Clementi Ave 2 slip rd C'wealth Ave West","Clementi Ave 2 slip rd C'wealt","1","2","1","1","11","22","2","1","5","71","54","0","0","0","N","Y","Y","N","Y","j/2015","14","R","sbs3765H - LHS body scratches, JERG","I was driving alg Clementi ave 2. Upon reaching slip rd twds cwealth Ave West I saw a m/cycleFBB9720L overtook my bus and went ot he left side of the slip rd. I then slowed down at the give way line to wait for traffic to clear onCwealth Ave West. As I was moving off I did not notice the said m/cycle on the left. thus the left side of my bus grazed onto the m/cycle. I stoppedand alighted to check on said m/cyclist. I checked he is not injured. rider was with a pillion.they do not require AMB. Particulars exchanged. OCC informed. PAx transferred. I then OS back to JEI.","","","wdssof01","12/01/2015 14:59","","12/01/2015 14:59","","N"
"E02562015","02","SE","14/01/2015","201500244","02/01/2015 19:00","3","AMK AVE 1","AMK AVE 1","2","1","1","1","8","33","3","2","5","86","61","0","0","0","N","Y","N","N","Y","F/2015","21","R","NO DMG","I was travelling along AMK Ave 1 filter lane towards Bishan Rd. There was a car in front of my bus suddenly stopped. I stepped brake immediately. A female passenger 50 yrs lost her balance and used her elbow to break her fall on the walkway. Novisible injury on her and she did not require medical attention. She alighted at Bishan Int. That s all.","","I was informed of the CFMS on 09/01/2015","edsfof02","14/01/2015 10:41","edsfof02","15/01/2015 09:13","","N"
"E01002015","02","SE","07/01/2015","201500245","05/01/2015 16:55","3","TAMPINES INT.","TAMPINES INT.","3","1","1","1","3","37","4","1","5","70","67","0","0","0","N","Y","Y","N","N","","21","R","NO DMG","I was reversing in Tampines int. when my bus hit another stationary bus (SBS3625D SVC 19) in the parking lot. No injury. That s all.","","","edsfof02","07/01/2015 11:33","","07/01/2015 11:33","","N"
"E02222015","02","SE","12/01/2015","201500245","05/01/2015 17:01","3","TAMPINES INT.","TAMPINES INT.","3","1","1","1","19","37","4","1","5","70","60","0","0","0","N","Y","Y","N","N","","21","R","REAR LEFT SIDE DMG","My bus was parked in Tampines Int. parking lot while I went for break. During the break a colleagues informed me that my bus was damaged. I went to check and saw RM taking photos. After that RM informed me that the bus that hit my bus was SBS7306ZSvc 72. No injury. That s all.","","I worked split shift (S & T)","edsfof02","12/01/2015 15:11","","12/01/2015 15:11","","N"
"E01852015","02","SE","09/01/2015","201500246","05/01/2015 20:30","3","BEDOK DEPOT EGRESS","BEDOK DEPOT EGRESS","3","1","1","1","11","36","4","1","5","70","54","0","0","0","N","Y","Y","N","N","","21","R","REAR RIGHT SIDE DMG","My bus was stationary waiting for another bus in front to move at the egress of Bedok Depot. Another bus (SBS8685YOS) side swipe my bus after it entered into Bedok Depot. No injury That s all.","","I worked split shifts.","edsfof02","09/01/2015 15:25","edsfof02","15/01/2015 09:15","","N"
"E02702015","02","SE","14/01/2015","201500246","05/01/2015 20:30","3","BEDOK DEPOT REFUEL ISLAND","BEDOK","3","1","1","1","19","36","4","1","5","70","54","0","0","0","N","Y","Y","N","N","","21","R","LEFT SIDE EXIT DOOR AND BODY DMG","My bus accidentally side swipe another stationary bus (SBS3829HOS) that was queueing at the refuel island in Bedok Depot. No injury. That s all.","","TAC WAS DOWN ON 02/01/2015 & WEEKEND.","edsfof02","14/01/2015 14:13","","14/01/2015 14:13","","N"
"W02262015","02","SW","12/01/2015","201500247","09/01/2015 09:19","1","upp aljunied road","upp aljunied road","1","1","1","2","7","33","1","3","1","70","54","0","0","0","N","Y","Y","N","Y","f/2015","21","R","sbs6703S -LHS v/mirror cracked, SGRG","I was approachnig t/light junctn when my bus grazed aagisnt the side of a lorry that ahd stopped at the junctn. No damage to lorry but my LHS mirror cracked. that is all. Veh no of lorry not noted down so had lodge police report.","","","wdssof01","12/01/2015 15:56","","12/01/2015 15:56","","N"
"W01952015","02","SW","12/01/2015","201500248","09/01/2015 10:30","1","upp thomson rd X braddell Rd","upp thomson rd X braddell Rd","1","1","2","2","11","27","2","3","1","70","52","0","0","0","N","Y","Y","N","N","","21","R","sbs6623P - front NS body panel, H/lamp, side w/screen cracked, HCRG","I was driving alg the centerlane of Upp Thomson Rd twds Thomson Rd. Reaching said jucntn I followed behind a carSFX9269K the t/light began to turn amber from green. It suddenly brake to stop. I swerved to the right to avoid. It was rainingand road surface is wet. It was too late as my front NS hit onto rear OS of said acr. OCC incormed. I was instructed to RTD. No injury. That is all.","","","wdssof01","12/01/2015 09:20","","12/01/2015 09:20","","N"
"E01992015","02","SE","12/01/2015","201500249","09/01/2015 11:10","4","JALAN EUNOS","JALAN EUNOS","1","1","2","2","3","33","1","2","5","70","54","0","0","0","N","Y","Y","N","N","","21","R","NO DMG","I was driving in the bus lane along Jalan Eunos. In front there was road work. Hence I had to filter to the 2nd lane on my right. There was a car ( number unknown) at the rear of my bus. Our vehicles side swipe. There was no damage to both vehicles.vehicles. As there was no damage to the car I did not take down the car numberdriver particulars and photos of the car. After that the driver called the hot line to complain. I did not know who was at fault. No injury. That s all.","","","edsfof02","12/01/2015 09:56","","12/01/2015 09:56","","N"
"E02372015","02","SE","13/01/2015","201500251","09/01/2015 18:38","2","At Kembangan Stn b/stop","Jalan Kembangan","1","1","1","1","9","33","2","3","5","70","54","0","0","0","N","Y","Y","N","N","","21","R","SBS0993K, Left rear damaged","Before I could enter my bus into the said b/stop I noticed that there was illegal park van (GBC4608G) over there. While I passed an illegal park van I check my left v/mirror again discovered that my bus had sideswipe with the said vehicles.Immediately I stopped my bus and assess the damages. The said van sustained damaged on right front bumper. Bus resumed service after exchanged particulars with 3rd party. That’s all.","","10/1- Sat & 11/1- Sun","amoppr10","13/01/2015 11:59","","13/01/2015 11:59","","N"
"E02012015","02","SE","12/01/2015","201500252","09/01/2015 19:15","2","PASIR RIS CENTRAL","PASIR RIS CENTRAL","1","1","1","1","8","33","3","2","5","70","54","0","0","0","N","Y","Y","N","N","","21","R","NO DMG","I was driving along Pasir Ris Central in lane 1 . Suddenly a taxi(SH7890J) side swipe my bus while cutting into my lane from lane 2 on my left side. No injury. That s all.","","","edsfof02","12/01/2015 10:17","","12/01/2015 10:17","","N"
"W02442015","02","SW","13/01/2015","201500254","10/01/2015 00:45","2","BB bus park washing bay","BB bus park washing bay","3","1","1","1","20","47","3","1","5","85","73","0","0","0","N","Y","Y","N","N","","21","R","sbs8202H - RHS rear v/mirror damage, SGRG","I was waiting for the washing to be completed when the brush hit onto the mirror and damaged it.","","BC reported to Rg on 12/01.","wdssof01","13/01/2015 14:43","","13/01/2015 14:43","","N"
"W02592015","02","SW","14/01/2015","201500256","13/01/2015 13:25","1","Farrer Road","Farrer Road _ LP 65","2","2","1","1","16","33","2","3","5","86","78","1","0","0","N","Y","N","N","Y","J/2131","21","R","SBS2831G - No damaged ( BMRG )","On the extremely left lane Farrer Rd there were plastic cones & safety barriers were placed along the roadside. Due to this reason I need to filter my bus to right & was travelling encroaching to the ctr lane when I saw a car was beside my bus Ibraked gently I did not heard any noise onboard my bus. A pax f/ch came & informed me someone had fallen down.  I then stopped my bus at roadside to check & I saw a f/indian was assisted by some paxs. I approached her. She told me she wanted toalight. I checked with her whether she was hurt & she told me her left arm was pain & requested ambulance. Informed WOCC to activate ambulance. Tr paxs. MTI arr. Aft the injured pax had conveyed to Alex hospital by ambulance then IO arr. AfterIO had interview me OCC told me to halfway on svc to HBF Inter.","","","jradaa01","14/01/2015 11:10","","14/01/2015 11:10","","N"
"E02492015","02","SE","13/01/2015","201500264","11/01/2015 14:40","1","Blk 612 b/stop","Ang Mo Kio Ave 4","2","1","1","1","19","33","2","3","5","86","78","0","0","0","N","Y","Y","N","Y","NP299","23","R","SBS5076A, No damaged","I was driving bus svc 268. I stopped the bus at the traffic light in front of Blk 612 and that there were about 10 pax in the bus. When the traffic light turned green I then stepped on the accelerator to drive into the b/stop bay.As I was accelerating I heard a shout and then a fall coming from inside the rear of the bus. I then stopped the bus to render assistance to an Indian lady in her 60s who was the one that fall earlier.I wanted to render assistance to her but she refused claiming that she was all right. I did not spot any visible injuries from her. After that she left the scene. That’s all.","","","amoppr10","13/01/2015 15:52","","13/01/2015 15:52","","N"
"E02662015","02","SE","14/01/2015","201500265","11/01/2015 15:35","2","Near to Tampines Ikea","Tampines Ave 10","2","1","1","1","6","33","2","3","5","86","78","0","0","0","N","Y","N","N","Y","NP299","23","R","SBS8751P, No damaged","I was driving bus svc 57 along Tampines Ave 10 while approaching the traffic light it turn red out of the sudden as such I had to jam my E-brake after which I heard a scream from a female subject who was standing beside me. I immediately turn aroundand ask what happened and she informed had a fall as such I quickly attend to her and apologized to her and explained to her that I had to perform the e-brake I also asked her if she needs any medical attention however she decline.I observed that there was no visible injury show on her. Thats all.","","","amoppr10","14/01/2015 13:43","","14/01/2015 13:43","","N"
"W02502015","02","SW","13/01/2015","201500270","06/01/2015 20:59","2","serangoon rd, Boon Keng MRT bstop","serangoon road","2","1","1","2","5","42","2","1","5","86","65","0","0","0","N","Y","Y","N","N","","14","R","sbs8617U - SGRG","I was scheduled to drive SBS8617Usvc64 on 06/01/2015. there was no incident of pax being caught in btwn the doors throughout that trip. Bus operates as normal.","","bc reported to RG on 13/01. CMFS case. BC unaware of incident","wdssof01","13/01/2015 16:08","","13/01/2015 16:08","","N"
"E02762015","02","SE","14/01/2015","201500272","10/01/2015 13:16","1","Left turn Lrg 1 Geylang","Lrg 1 Geylang","1","1","1","1","16","27","2","3","1","70","54","0","0","0","N","Y","Y","N","Y","NP168","14","R","SBS8515E, Right side mirror tilted","I was driving bus svc 26 along Geylang Lrg 1 going towards Sims Ave. There was abt 20 pax onboard my bus and when I was at the utmost left lane of Geylang Lrg 1 I felt a bang on the right front of my bus.I alighted from my bus and I noticed that a silver pickup (GBB186M) had collided onto my bus. My bus sustained right side mirror tilted. There was no damaged to the said lorry. Bus continued service after consulted CRS.Lorry driver refused to provide any particulars and left scene. Thats all.","","Was on duty.","amoppr10","14/01/2015 14:54","","14/01/2015 14:54","","N"
"E02092015","02","SE","12/01/2015","201500278","05/01/2015 07:00","1","B/S OPP BLK 293","PUNGGOL CENTRAL","2","1","2","2","5","42","2","1","5","86","58","0","0","0","N","Y","N","N","Y","F/2015","26","R","SBS5051X NO DAMAGED (AMRG )","On 09/01/2015 at about 150hrs i was informed by my company that  a lady wrote a letter to my company to infomr about an incident which happened on 05/01/2015.   On 05/01/2015 at about 0700 i was driving my bus along the mention location when thehead of a baby hit onto the pole in the bus as she was unable to stability stand on the bus . I wish to inform no one had approached me in reagrds to this incident on the very day. Thats All","","i only know on the 09/01/2015 about this incident","edbsrm01","12/01/2015 11:51","","12/01/2015 11:51","","N"
"W02252015","02","SW","12/01/2015","201500283","11/01/2015 06:34","1","upp sgoon road T Sgoon central","upp sgoon road","1","1","1","1","4","25","3","3","1","70","60","0","0","0","N","Y","Y","N","N","","14","R","sbs6749K - rear w/screen shattered, SGRG   sbs6080E,OS svc315, LHS v/mirror dropped off","I was stopping at said jucntn as t/light ahd turned amber when moment later I heard bang from behind. I alighted to checka nd found OS SBS6080E had collided into my bus rear causing damage to both buses. No injuries. that is all","","","wdssof01","12/01/2015 15:46","","12/01/2015 15:46","","N"
"W02942015","02","SW","15/01/2015","201500283","11/01/2015 06:34","1","upp sgoon road, aft B62189","upp serangoon road","1","1","1","1","2","33","3","1","5","70","54","0","0","0","N","Y","Y","N","N","","14","R","sbs6080E - L.rear v/mirror damaged, SGRG     sbs6749K,svc317, rear w/screen cracked","I was on OS alg Upp Sgoon Rd twds SGI. There were 05 lanes. 1st lane was for traffic turning right. 2nd was for going straight. I was on the 2nd lane behind a taxi. On the 3rd lane was SBS6749Ksvc317. approaching junctn the taxi infront of mesuddenly swerved right to switch to the right laneand stopped with its rear jutting out into my lane. To avoid hitting its rear I swerved to the left thus causing an impact with the other SBS on my left then causing damage. no injuries. that is all","","MC 12/01 and 13/01. bc reported to Rg on 14/01","wdssof01","15/01/2015 12:19","","15/01/2015 12:19","","N"
"W03062015","02","SW","15/01/2015","201500284","14/01/2015 14:25","1","geylang road","geylang road","1","1","1","1","17","33","1","1","5","70","54","0","0","0","N","Y","Y","N","N","","14","R","sbs6447G- front RHS panel scratches, SGRG, cctv","I was reaching Geylang Term when a pte vanGBB6354E from my right travelled too close and sideswiped my bus causing damage to both vehicles. No injuries. that is all","","","wdssof01","15/01/2015 16:25","","15/01/2015 16:25","","N"
"W02912015","02","SW","15/01/2015","201500285","14/01/2015 16:40","2","Level 3 Parking lot","Soon Lee Bus Park","3","1","1","1","1","39","3","1","5","91","73","0","0","0","N","Y","N","N","N","","14","R","SBS6074Z - Rear right bumper damaged ( BLRG )","Bus was parked at SLBP level 3 at svc 185 parking lot. And infront of my bus there was a stationary s/d bus. On seeing I then swerved my bus to the left to overtake infront bus due to I could not fully steered out as a result the rear rightportion of my bus grazed against the PillarG8. WOCC informed.","","","jradaa01","15/01/2015 11:54","","15/01/2015 11:54","","N"
