"ReportNo","ReportDate","IpNumber","AccidentDateTime","PlaceOfAccident","OperatingHours","DutyIO","DamageToBus","FactsOfIncident","BusNumber","ServiceNo","FinalLiability","StaffNo","FinalLiabilityDate","FinalFinding"
"E03122015","16/01/2015","201500301","13/01/2015 19:15","JALAN KAYU NEAR TO SELETAR CAMP","9","21","NO DMG","When I reached Yishun Int. one male passenger informed me that he had hit his head. He mentioned that earlier when my bus was travelling along Jalan Kayu I suddenly brake and caused him to hit his head on the chair in front of him. He was sittingat one of the seat in the middle of the bus. I wish to state that I remembered doing a hard braking at Jalan Kayu due to the vehicle in front suddenly braked. I jammed the brake to avoid collision. The male passenger was Kong Koon Fock S1515133A.male about 64 yrs resides at blk 606 Yishun Street 61 #06-293 H/P : 91503316. The male passenger had a small bruise on his forehead. He declined medical attention and no ambulance was activated.  That s all.","SBS6602A","039","FAF","75339","17/02/2015","121"
"E02802015","14/01/2015","201500302","13/01/2015 22:40","ST MICHAEL TERMINAL","14","21","REAR RIGHT CORNER DMG","While reversing in St Michael Terminal my bus accidentaly hit the barrier behind. No injury. That s all.","SBS8728H","131","FAF","33752","17/02/2015","118"
"W02652015","14/01/2015","201500303","14/01/2015 01:20","SLBP 3rd floor","18","21","sbs8937X - LHS v/mirror bracket broken and dropped, JERG       unattended stationary sbs3609B","I wanted to reverse park my bus into parking on my rear left. So I swerved to the right and wanted to reverse. While doing so suddenly my LHS v.mirror grazed mirror of stationary SBS3609B. That is all","SBS8937X","105","FAF","23015","17/02/2015","118"
"E03532015","19/01/2015","201500380","17/01/2015 12:10","THOMSON ROAD AFTER NOVENA CHURCH BUS STO","13","21","LEFT MIRROR DMG","After I moved out of a bus stop in front of Novena Church along Thomson Road there was an SMRT Bus (TIB1134Z in front of my bus. There was heavy traffic mvoing intermittently. The SMRT bus suddenly stopped inside the yellow box  and my view mirror hview mirror hit the rear of SMRT bus windscreen. No injury. That s all.","SBS6670C","054","FAF","14987","18/02/2015","102"
"E04222015","22/01/2015","201500404","15/01/2015 11:00","Left turn from Pasir Ris Dr 1","9","23","SBS8660T, No damaged","RM informed me that they received a complaint against me by a little female paxs father on 15/01/2015. I was informed by my RM that earlier today at 1100hrs While I was about to make a turn from Pasir Ris Dr 1/ 4. The father of the little paxclaimed that her head has hit onto the front seat handle. I wish to state that after I make the left turn from the said junc I heard a little girls cries. As such I stopped my bus to make a check on her in view of her father. There was novisible injury show on her. And later I resumed back to my driving. Thats all.","SBS8660T","358","NAF","60344","10/02/2015","221"
"W04032015","21/01/2015","201500407","08/01/2015 18:15","S'Goon Interchange boarding berth","6","26","SBS2994U - No damaged ( JERG )","I wish to say that on 08/01/15 @ 1815 hrs at S’Goon Inter boarding berth. Aft boarding paxs activities I wish to say that there is no such incident occurred onboard my bus. The fallen paxs did not alert me","SBS2994U","105","NAF","21778","18/02/2015","499"
"W05012015","27/01/2015","201500482","26/01/2015 09:10","Jurong West St 75 X JR West Ave 4","9","14","SBS6066Y - No damaged ( BLRG )","I was driving my bus along JR West St 75 heading straight dir to JR West St 64. And infront t/light junct of JR West Ave 4. It was green light. When my bus was abt 50m away from said junct green light had turned into amber light I then appliedbrake to stop at said junct & bef my bus stopped at said junct then I heard falling sound came onboard my bus. I checked interior v/m & saw paxs had went to assist somewhere near exit door. I left my seat to check & saw an elderly f/ch was seated.I asked her anything happened to her she informed me she was alright later a m/ch ( husband ) waved at me to move off. When I reached BLI I brought the fallen pax to POS. At POS Master Lee attended to fallen pax’s & her husband informed behindher head was swollen & requested medical attention. Master Lee info","SBS6066Y","243W","FAF","61619","18/02/2015","121"
"E05252015","27/01/2015","201500513","26/12/2014 20:00","AMK AVE 4 BUS STOP 54199","11","21","NO DMG","On 25/01/2015 I was informed of a complaint against me regarding an incident on 26/12/2014. On the incident day after passengers boarded the bus I pressed the button to close the doors. Suddenly a lady wanted to board my bus. I quickly pressedthe button to open the door and she boarded the bus. After that she did not make any complaint regarding being hit by the door. That s all.","SBS7427H","076","FAF","14909","18/02/2015","122"
"W06072015","02/02/2015","201500620","30/01/2015 21:05","Bras Basah Rd T Prinsep St","14","14","sbs3864E - LHS middle portion scratches, BLRG, cctv","I was on the 2nd right lane twds Suntec. Approaching a/m junction suddenly I heard sound from the rear. I stopped ahead bef B08069. A car SJK1095T stopped behind me. I alighted. Said car M/Chinese approached me and started scolding me.He mentioned that he wanted to swerved right into my lane because the car infront of him wanted to turn left into Prinsep St. The lane he was in was only for going straight. Particulars exchanged. Said car R.v/mirror damaged. OCC informed. I cont svc","SBS3864E","502","","74395","",""
"W06692015","04/02/2015","201500623","02/02/2015 18:55","Stamford Rd b/stop","7","21","SBS6158R - No damaged ( BMRG )","I had stopped my bus at the kerbside b/stop 14.0 KM along Stamford Rd for paxs activities. Aft paxs activities I then closed both doors & started to move off when I saw someone flagged for my bus I then stopped my bus again & this time I heardfalling sound came onboard the bus. I checked & saw an elderly man who had boarded my bus had fell off lying along the floorboard & a pax had went to assist him. I also checked with him whether he was hurt need medical he told me his left arm waswas hurt but refused medical treatment & he walked to the rear of the bus. I then moved off. Later he wish to call ambulance. WOCC informed. Tr paxs. MTI IO & amb arr. He was conveyed to hospital by ambulance. Aft IO had interviewed I then offoff-svc back to BMI.","SBS6158R","016","NAF","61508","17/02/2015","402"
"W06512015","03/02/2015","201500624","29/01/2015 13:45","approaching Bstop boon lay Sh Centre","12","21","sbs7324X - CLRG, cctv","I was approaching said bstop when I stopped at the junctn before it as red t/light. Once greenI proceed on slowly. Upon moving a F/pax who was standing fell. I proceed to said bstop. Bef I cld talk to her she had already alighted. OCC informed.","SBS7324X","099","NAF","22795","23/02/2015","402"
"W05962015","02/02/2015","201500625","29/01/2015 14:50","Circuit Road","21","21","SBS3078H - No damaged ( BLRG )","Aft paxs activities at b/bay along Circuit Rd I then my bus at the 1st left lane of a ped t/light junct to comply to traffic red light. When green light appeared I moved off at this moment I heard pax shouting I checked interior v/m & noticed anelderly pax f/malay was going to fell backwarded one her hand was holding a plastic bag. I slowly to stop my bus. Paxs onboard my bus had went to assist her up to seat I approached to her & checked she told me that she wanted to change her seatfrom behind to front to her husband as my bus had stopped. She informed me behind her head was pain I checked with her whether she need medical attention she declined as she was alight. Aft that I cont my driving along Aljunied Rd at b/stop 70031I decided to check with her again whether she need to consult doc","SBS3078H","174","NAF","70718","23/02/2015","402"
"E06702015","04/02/2015","201500626","29/01/2015 15:35","Blk 90 b/stop","2","21","SBS8415K, No damaged","On the above mentioned date time and location I pulled over my bus with bus svc 40 to allow mu pax to alight at the b/stop. My bus was stationary when the pax are alighting. An elderly female pax (85) alight from the front door was talking awaywhile alighting. She fell when she wanted to step onot the kerb after alighting from the bus. I would like to emphasize that during the incident she is not in contact with my bus. I offered to call an ambulance for her however she refused my offer.I observed that there was no visible injruy show on her. I am lodging this report for record purpose. Thats all.","SBS8415K","040","NAF","43251","18/02/2015","401"
"E06412015","03/02/2015","201500629","02/02/2015 09:10","After Shell Petrol kiosk","7","21","SBS6742D, Left v/mirror damaged","I was driving bus svc 155 and was traveling along Braddell Rd towards Upp Sgoon Rd. After passing by Shell Petrol Kiosk I changed lane to second lane from the left as first lane was heavily jammed. One lorry reg plate of XD4169R from the first laneon the left suddenly changed lane to my lane without signalling as such his right rear collided onto my bus left v/mirror. Subsequently the said lorry managed to be in front of me and I kept horned at him to signal to him that he collided to my bushowever the lorry did not slow down continue drive staright as such I lost sight of the lorry. After lost sight of the said lorry I drove my bus to the next b/stop to alight my pax and informed OCC. CRS activated. They escorted me back to depot.Photo taken by AS. Thats all.","SBS6742D","155","","74108","",""
"E06032015","02/02/2015","201500650","02/02/2015 10:25","AMK AVE 8","9","21","NO DMG","While I was travelling along AMK Ave 8 one silver car suddenly came from my left side. I tried to stop my bus to avoid collision. However the car did not turn on its signal  and brush against the left front door of my bus. I tried to stop thecar but the driver just drove off without stopping to check with me. I could not remember the car model or number. No injury. That s all.","SBS8756B","265","","60375","",""
"E06932015","05/02/2015","201500652","02/02/2015 15:40","SIN MING ROAD & UPPER THOMSON ROAD T JUN","2","21","RIGHT MIDDLE BODY SCRATCHES","My bus and another car (SJN8156P) were turning right from Sin Ming Road into Upper Thomson Road when our vehicles side swipe. Do not know who was at fault. No injury. That s all.","SBS8498X","410G","","76549","",""
"E07412015","06/02/2015","201500709","04/02/2015 10:45","STILL ROAD","9","23","NO DMG","I was leaving a bus stop along Still Road. On my left side there was road work. I felt that there was a car on left side. I stopped then heard a sound. I could not ascertain where this car came from.  The car did not stop and continued to driveaway. I then stopped after the slip road on my left and inspect my bus. I discovered that the cover on the front left side opened outwards. I then closed it back. There was no damage to my bus. I then continued my journey. No injury. That s all.","SBS8470A","055","","72952","",""
"E08362015","11/02/2015","201500727","11/02/2015 09:12","AMK AVE 8 BUS STOP 54319","8","23","NO DMG","I stopped at AMK AVE 8 bus stop 54319. A passenger (Raemah Binti YusofS1055602CBLK330 AMK AVE 1#02-1829 Contact no : 64575988) fell down while boarding. She was brought into the bus by another passenger. Upon checking she informed that her rightarm was in pain. She was later conveyed to Khoo Teck Puat Hospita. That s all.","SBS8783Y","162","","14864","",""
"E08052015","10/02/2015","201500729","05/02/2015 22:00","JURONG EAST CENTRAL","15","21","LEFT SIDE REAR SCRATCHES","I was driving along Jurong East Central. Just when I was coming to a stop approaching a traffic light in less than 100m I feel my bus shaken a bit. I do not know what happened. But less than a minute my colleague who was driving another bus behindtold me that my bus was hit by another vehicle. My bus left rear suffered a long lasting scratches from the hit. I believed my colleagues witness the whole incident. No injury. That s all.","SBS9817C","143","","70223","",""
"E08022015","10/02/2015","201500753","09/02/2015 13:20","LORONG 1 GEYLANG PEDESTRIAN CROSSING","15","14","RIGHT MIRROR DMG","I stopped at a pedestrian crossing along Lorong 1 Geylang. There was a lorry on my right side behind moving at a fast speed. As it passed my bus it side swipe my right mirror. The lorry did not stopped. No injury. That s all.","SBS5161L","026","","70824","",""
"E08722015","13/02/2015","201500814","12/02/2015 19:10","MOUNTBATTEN ROAD PEDESTRIAN CROSSING","9","21","LEFT SIDE BODY SCRATCHES","I was driving along Mountbatten Rd towards Fort Rd and making a left turn into Mountbatten Rd. There was a Pedestrian crossing. When the traffic light was green there was no pedestrian crossing and cyclist hence I proceeded to turn left.As I was turning left I noticed from my left mirror there was a cyclist who suddenly apppeared and was on the pavement seemed to be standing and picking his bicycle. As such I stopped to check and the cyclist informed me nothing was wrong.Ambulance was activated as I observed that the cyclist seemed to be in a state of shock and there was  damages to his bicycle. No visible injury on the cyclist. Spokes of the bicycles came off and tyres out of alignment. I noticed minor scratches onleft side of my bus. The ambulance staff check the cyclist and did not conv","SBS3897K","196","PAF","16683","23/02/2015","101"
"E09402015","17/02/2015","201500817","16/02/2015 18:50","BRADDELL ROAD","9","23","LEFT SIDE FRONT SCRATCHES","I was driving along Braddell Road when a taxi (SHD9215Y) on my left side swipe my bus. The taxi was exiting the Toa Payoh Flyover and entered Braddell Road . It did not stop at the stop line and give way to passing vehicles. The taxi driver admittedfault. No injury. That s all.","SBS8637L","013","","70908","",""
"E09612015","17/02/2015","201500818","16/02/2015 23:30","ENTRANCE OF AMK DEPOT","17","23","SBS2716G NO DAMAGED (BDRG)","ON 16/02/2015 AT ABOUT 2330HRS I WAS DRIVING MY BUS INTO AMK DEPOT IT WAS QUITE DARK SO I CANT SEE VERY WELL AT THE DEPOT MY BUS SIDE GRAZED THE RIGHT BARRIER OF THE AMK ENTRANCE. AFTERWHICH  I CAME DOWN MY BUS TO CHECK MY BUS FOR DAMAGES.NO ONE WAS INJUIRED. THATS ALL","SBS2716G","045","","75945","",""
"W09482015","17/02/2015","201500819","16/02/2015 20:30","SLBP washing machine no. 4","11","23","sbs3785A - exit door rubber came out, BLRG, cctv","I was entering bus into washing machine. While washing I notice water was spraying into my bus through the rear door. Then the washing brush got stucked to the rear door. I then proceed out as normal. I informed mechanic. Only the rubber came out","SBS3785A","154","","52644","",""
"E09392015","17/02/2015","201500820","16/02/2015 19:10","PASIR RIS DR 3","11","23","RERAR RIGHT DMG","My bus was stationary at a bus stop along Pasir Ris Dr 3 when a car (SJQ2050J) hit my rear while attempting to overtake me. No injury. That s all.","SBS7665L","005","","17930","",""
"W09492015","17/02/2015","201500821","16/02/2015 15:10","Eu Tong St, bef B05039","13","23","slight damage to front RHS body panel, JERG, cctv","I was travelling alg Eu tong St twds JEI. Traffic was heavy. I was proceeding to B05039. I was on the 3rd left lane. There was a car on my left that was very close so my bus was abit out from my lane to my right. I was still in stationary whensuddenly I heard a grazing sound from the right. I checked and saw a car had grazed my RHS body. I alighted to check. Pax no inj. Particulars exchanged. OCC informed. I cont svc as normal no pax transferred.","SBS7493R","143","","74999","",""
"W09622015","17/02/2015","201500822","16/02/2015 13:00","Toh Guan Rd","11","23","slight scratches front RHS bumper, JERG, cctv","I was travelling alg Toh Guan Rd travelling back to JEI. I was in the centerlane. Traffic was quite heavy. As I was passingby IMM I noticed a car moving out from IMM and entering into the yellow box to the right most lane.I braked slowly but hit said car RHS rear. I alighted. I told driver F/chinese to proceed back to JEI. I cont svc as normal. At JEI RM You How talked to 3P. that is all","SBS3447B","052","","18649","",""
"W08962015","16/02/2015","201500823","12/02/2015 07:20","SGI","5","23","sbs6344U - no dmgd, cctv, SGRG       sbs6096K,sv158, rear R/corner panel slight crack","I was driving into p/lot when the rear door of my bus suddenly opened by itself. Its left side of the door leaf hit agaisnt the rear right side panel of stationary SBS6096K. I reported to ARM and was told to RTD back to depot.","SBS6344U","103","","34505","",""
"E09272015","16/02/2015","201500824","12/02/2015 07:10","NEW BRIDGE ROAD","3","23","NO DMG","I was driving along New Bridge Road. A passenger approached me for first aid kit as another passenger fell down in the bus. Witness informed that the said old man Ng Tang YengH/P : 98929513S0930961F who is in his 60s was sleeping and fell down tothe floor while sleeping. Ambulance was activated but he refused to be conveyed. The old man sustained injuries to the head with slight bleeding. That s all.","SBS8862C","033","","16498","",""
"W08872015","13/02/2015","201500825","11/02/2015 22:05","Jln Besar","15","23","sbs6395Y- RHS side panel, corner bumper, t/lamp assy dmgd, SGRG, cctv","I was on Jln Besar twds Kitchener Rd. When coming to a right bend I followed through. A Transcab SHB9920E on my RHS swtich to my lane as there was another taxi stopping infront of it for customer. As a result its front LHS grazed my rear RHS.","SBS6395Y","141","","72567","",""
"W08672015","13/02/2015","201500826","11/02/2015 20:55","S'Goon Rd / Owen Rd","12","23","SBS3153Z - Right front panel 2 lines scratches ( CLRG )","I was driving my bus along 1st left lane ( bus lane ) of S’Goon Rd heading to infront t/light junct of Rangoon Rd. And when my bus was crossing the uncontrolled T-junct of Owen Rd a silver lorry GX2516G was at the 2nd right outer lane suddenlyturned left twds my bus I horned at said lorry & said lorry make an e-brake to stop and I to avoid I braked to stop but could not as a result the right front portion of my bus then grazed against the left front v/m of said lorry. I alighted tocheck informed WOCC exchange particular & cont my svc.","SBS3153Z","147","","72692","",""
"E08662015","13/02/2015","201500827","11/02/2015 19:20","BRAS BASAH ROAD BUS STOP","10","23","RIGHT FRONT CORNER SCRATCHES AND DMG","I stopped at a bus stop along Bras Basah Road for pax activities. Suddenly I heard a loud sound. Upon checking found that a trailer (XD4707M-TR4222T) side swipe my bus. The driver admitted fault and expressed interest in pte settlement. No injury.That s all.","SBS8566H","036","","34917","",""
"E09132015","16/02/2015","201500828","11/02/2015 18:50","Junc Robinson Rd","9","23","SBS3211P, Right rear damaged","I was driving bus svc 133 along Robinson Rd turning into Finlayson Green at the traffic light junc. I was at the second lane when I made the right turn at the traffic junc. I had checked my blindspot and there was no vehicle at the extreme right lane. While I was turning a taxi (SHB9962J) had hit onto my right rear tyre. I then went down and asked the taxi driver whether he was injured and he informed he was fine. There was no damaged to my bus that I drove however the taxi left front tyre waspunctured and had a few scratches on the left front side of the taxi. On 13/2/2015 I was informed by my RM that the taxi driver had claimed against the company as he had 5 days of MC due to accident. As such I was instructed to lodge report.","SBS3211P","133","","72940","",""
"E08712015","13/02/2015","201500829","11/02/2015 16:45","HOUGANG CENTRAL TRAFFIC JUNCTION","3","23","NO DMG","I was driving along Hougang Central turning right into Hougang Avenue 10 at the T junction.When I was about to turn right another bus (SBS6308T) beat the red light going straight coming from my right. This caused me to apply brake and an old ladyfell to the ground in my bus. I rendered assistance and she declined medical attention. She was unwilling to provide particulars. That s all.","SBS6306E","087","","60434","",""
"E08432015","11/02/2015","201500830","11/02/2015 13:30","Aft Blk 745","14","23","SBS2622T, Left v/mirror cracked","I was driving bus svc 228 along the said road at the extreme left lane. I notice a lorry slowly emerging out from the construction site and as there was a car on my right I sounded  my horn & slowly drove past. However the lorry emerged outand protruded from the stop line and our view mirror came into contact. As I stop at the B/stop a short distance away the lorry just drove off without exchanging particulars. I also did not notice the registration nos of the lorry. There was acrack on my Left v/mirror and there was no injury.  My bus was fitted with CCTV. Thats all.","SBS2622T","228","","76433","",""
"E08792015","13/02/2015","201500831","12/02/2015 08:50","LORONG 1 TOA PAYOH BUS STOP AT BLK 111","7","21","NO DMG","I closed the doors after all the passengers had alighted from my bus at a bus stop at blk 111 Lorong 1 Toa Payoh. After closing the doors I began to move off.  I then heard a noise at the back. I stopped and upon checking discovered one Chinesefemale passenger in her 40s fell down. She stood up and wanted to alight at the said bus stop. She did not require medical attention. She informed she had no injury. That s all.","SBS8708R","059","","16005","",""
"E09022015","16/02/2015","201500832","12/02/2015 08:25","Junc of Jalan Eunos","6","21","SBS5252H, Scratches on Left rear","During incident period I had stopped my bus at the said junc to comply with the red traffic light when out of sudden I felt jerk discovered that my bus was being hit by a pte bus (PA8601T) resulted some damaged on my left rear.The said driver to exchange particulars after the accident. Bus continued service in view of above. The mentioned driver had proceed to SMT at to exchange particulars with me. No one was injured. Thats all.","SBS5252H","021","","74575","",""
"E09662015","18/02/2015","201500833","30/01/2015 07:45","TIONG BAHRU ROAD TRAFFIC JUNCTION","6","21","NO DMG","I stopped at a Traffic Junction between Tiong Bahru Road and Zion Road. I was at the 3rd lane of a 4th lanes road. After the traffic light turned green I made a right turn. However I turned more to the right as such that my bus slide swipe a policecar(QZ422M) which was beside my bus. The police car sustained some paint chipped off on the left side of the car. No injury. That s all.","SBS6470M","121","","76045","",""
"E08752015","13/02/2015","201500834","12/02/2015 12:10","LORONG 1 GEYLANG AND SIMS AVE TRAFFIC JU","13","21","RIGHT BODY PAINT PEEL OFF","I stopped at the Lorong 1 Geylang towards Sims Ave Traffic Junction. On my right side there was a van (GW712A). The traffic  light turned green my bus and the van moved at the same time. I saw the van very close to my bus. I stopped my bus to letthe van moved first. Suddenly a motorcycle (FW4497G) appeared tried to squeeze between my bus and the van. The motorcycle collided at my right side near front tyre and hit the side of the van. I stopped and found that the motorcyclist did not falland bleed. He informed me that his right leg was in pain. Ambulance was activated but did not convey the motorcyclist to hospital. No other passenger was injured. That s all.","SBS8464T","026","","74574","",""
"E08582015","12/02/2015","201500835","12/02/2015 13:28","Junc of Circuit Rd","14","21","SBS8757Z, right rear damaged","While performing my pax activities at Blk 90 b/stop along Pipit Rd for pax activities a van (GZ7669E) overtook and stopped my bus informed me that my bus and his van came into the contact at the earlier junc.During that time I was give way to an elderly jaywalker to cross the road but an elderly wave for me to go on. While turning I felt a jerk but did not know what was happen. I discovered that the said van was behind my bus.to go on. While turning I felt a jerk but did not know what was happen. Out of sudden I noticed that the said van was beside my bus. My bus sustained damaged on right rear and the said van sustained damaged on left front.No one was injured. Bus resumed svc after exchanged our particulars. Thats all.","SBS8757Z","135","","75876","",""
"E09082015","16/02/2015","201500836","15/02/2015 11:20","SIN MING AVE","11","21","NO DMG","I was driving along Sin Ming Ave when a car tried to turn out from the carpark on my left and I stepped brakes to avoid a collision. The driver of the car : Elena Limh/p : 98535434 and her car number SJB278L.  After I brake I heard passengersshouted that someone fell down. I stopped the bus and upon checking found that a male subject on the floor. He informed me that he fell after I braked. His head was swollen. His particulars : Tan Goh BengS1424016Jh/p : 85022989.  Ambulance wasactivated to convey him to TTSH. That s all.","SBS8285T","162M","","74159","",""
"E09032015","16/02/2015","201500837","15/02/2015 10:50","SERANGOON GARDEN CIRCUS","6","21","NO DMG","I was driving along Serangoon Garden Circus when suddenly I heard a loud bang. I stopped the bus and realised one of the passengers fell down. The passenger is a female subject in her 70s. Ambulance was activated to convey her to TTSH. That s all.","SBS5113B","136","","12652","",""
"E09122015","16/02/2015","201500838","12/02/2015 19:50","SERANGOON CENTRAL BUS STOP","9","21","NO DMG","I stopped at a bus stop along Serangoon Central opposite NEX shopping Centre. I opened the doors for passengers to board and alight. I heard someone tripped and fell at the staircase from the upper deck of my bus. Upon checking found that a malechinese passenger in his 30s sitting on the staircase and seems to be in pain. But he declined medical attention. On 13/02/2015 my RM informed me that the said male passenger wanted to make a medical claim. That s all.","SBS3287X","022","","12906","",""
"W08902015","16/02/2015","201500839","12/02/2015 14:35","Yio chu kang road, B60819","3","21","sbs3327P - SKRG, cctv","I was from Punggol to Bishan. I was stopping at B60819 aft Jln Kayu. A M/pax ran up my bus. I then drove off but said pax fell. I stopped and assisted him. He mentioned of dizziness when chasing my bus and was unable to grab hold of the h/railproper thus causing his fall. I asked if he needs AMB but he refused. Said pax later alighted at B54489. I asked how was he feeling and he assured he was fne. I then cont svc.","SBS3327P","050","","72123","",""
"E09142015","16/02/2015","201500840","16/02/2015 00:45","BRADDELL BUS PARK EGRESS","19","21","FRONT  RIGHT SIDE DMG","I stopped at the Braddell bus park egress waiting to turn left into Braddell Road. Suddenly a taxi (SHD3529G) on my right side moving at a very fast speed. For unknown reasons it side swipe my bus. No injury. That s all.","SBS6391H","141","","74229","",""
"E09252015","16/02/2015","201500841","13/02/2015 06:13","ANG MO KIO AVE 1 & LOR. CHUAN JUNCTION","3","21","OFFSIDE WINDSCREEN BROKEN","On the said date and time while operating svc 22 SBS3145Y at the said T-junction a van collided onto the bus s offside body. The bus sustained offside windscreen broken. 3P wanted settlement. That s all.","SBS3145Y","022","","60186","",""
"E08922015","16/02/2015","201500842","15/02/2015 15:55","BUKIT TIMAH ROAD","3","21","FRONT RIGHT CORNER AND RIGHT SIDE FRONT SCRATCHES","I was driving on the extreme left lane along Bukit Timah Road. There are 3 lanes. The extreme left lane is for going straight and turn left. The 2nd & 3rd lane is for going straight only. On my right side there was a car (SJF8163K)  on the 2nd lanesuddenly turned left towards PIE. As a result my bus hit the left side of the car. No injury. That s all.","SBS8346B","066","","75025","",""
