"IP_NUMBER","COMPANY_CODE","DIST_CODE","accident_date","ip_type","init_liab","init_cause","init_find_date","inv_status","final_find_date","final_cause","offence_type","pol_rep_fee","shift_code","plce_of_acc","road_name1","acc_type","nature_of_acc","wthr_code","road_sur_code","op_hrs_code","type_loc_code","traf_vol_code","traf_flow_code","traf_cntrl_code","col_with_code","type_of_col_code","srs_inj","minor_inj","fatal","bus_towed","sketch","photo_taken","mech_fault","pol_report","pol_rpt","photo","vir","form15a","pol_rep_num","dutyio_code","damage_to_bus","Facts_txt","brief_part","rsn_for_late_rep","nat_of_acc_chng_dt","src_rep_num","create_by","create_dt","modify_by","modify_dt","mig_flag"
"201500168","02","SE","05/01/2015 16:03","Q","NAF","218","12/01/2015","1","10/02/2015","118","1","","2","Opp Sch Of Science & Tech","C'wealth Ave West","1","1","1","1","5","33","2","3","6","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","21","SBS2836T, Right front bumper damaged","During incident period I intend to depart my bus (166) out from the said  b/stop when a m/taxi (SHB4769J) encroach my lane from my right and grazed my bus. Bus RTI to CLI to be assessed by ARM after consulted CRS and exchanged particulars withNo one was injured and we exchanged our particulars. Bus RTI to CLI to be assessed by ARM after consulted CRS. Thats all.","(M)(N): 3P taxi sideswipe bus.","","","E01062015","sfalio02","12/01/2015 08:16","sfalio02","10/02/2015 11:26",""
"201500176","02","SW","04/01/2015 16:58","Q","FAF","112","12/01/2015","3","10/02/2015","112","1","","2","Jurong West Ave 4 X Jln Boon Lay","Jurong West Ave 4","1","1","1","1","3","27","3","3","1","70","75","0","0","0","N","Y","N","N","N","N","N","N","","","26","SBS8942E - Rear bumper no damaged ( BLRG )","I was driving my bus at the 2nd right lane of JR West Ave 4 heading to infront controlled x-junct of Jln Boon Lay. It was green light & when I saw green light had turned into amber light I then braked to stop my bus but my bus front portion had stopat the ped crossing on seeing I wanted to reverse my bus. I make a check behind it was clear I then reversed but I wasnt awared there was accident until when I saw a person had alighted I alighted to check & then found out that the rear bumperof my bus had collided onto behind m/car SKQ2421K. I had make a check & confirmed both bus & car had no damaged WOCC informed & exchange particulars & cont my svc.","(M)(Y) Reversed negligently and collided onto front portion of 3P car","","","W00352015","edbdam04","12/01/2015 08:44","edbdam04","10/02/2015 10:08",""
"201500177","02","SW","04/01/2015 19:00","I","FAF","118","12/01/2015","3","10/02/2015","599","1","","2","Jurong Rd aft Bt Batok Rd","Jurong Road","1","1","1","1","9","42","3","1","5","85","73","0","0","0","N","Y","N","N","N","N","N","N","","","26","SBS3755L - Upp Deck roof top corner panel damaged","Aft paxs activities at bus bay 22.3 KM along JR Rd I then swerved my bus to the right & didnt noticed there was a tree trunk jutting out as a result when I heard sound came from my bus & I thought my bus had grazed against something therefore Idid not stop to check. When I reached BLI aft parking my bus I alighted to check & then saw my bus at the upp deck left top corner panel a tree trunk had stucked onto the bus panel. ARM Loh & WOCC informed.","(M)(Y) Negligently swerved out from bus stop and collided onto a tree trunk","","","W00882015","edbdam04","12/01/2015 08:50","edbdam04","10/02/2015 10:09",""
"201500223","02","SE","06/01/2015 15:00","C","NAF","222","13/01/2015","1","","","","","2","KEPPEL ROAD BUS STOP","KEPPEL ROAD","2","2","2","2","3","42","4","2","5","86","82","0","1","0","N","Y","N","N","Y","N","N","N","","E/2015","14","NO DMG","I stopped keppel road bus stop to alight passengers. Suddenly there was a female chinese in mid 20s boarded the bus from the side mirror blind spot. When I pressed the button to close the door the door almost closed but did not hit the passenger.The female passenger did not complain to me. She tapped her card and sit down. My Route Master informed me that she sent email to inform the matter. No injury. That s all.","(N)(N) Pax alleged hit by door","","11/02/2015","E01492015","sfalpr04","13/01/2015 15:48","sfalad02","11/02/2015 16:26",""
"201500225","02","SW","06/01/2015 16:00","C","NAF","202","13/01/2015","1","","","","","2","Tuas West Rd / Tuas West Dr","Tuas West Rd","1","2","1","2","2","27","3","3","1","70","60","0","1","0","N","Y","N","N","N","N","N","N","","","14","SBS2770Z - Rear bumper damaged, body slight dented ( BLRG )","I had stopped my bus at the 1st extremely right outer lane Tuas West Rd comply to traffic red light at junct Tuas West Dr. Shortly when I heard sound bang came from the rear of my bus. I alighted to check proceed to the rear of my bus & I saw acontainer XD4840K front portion had collided into the rear portion of my bus. WOCC informed. Exchange particulars.Tr paxs & I was told to RTD.","(N)(N) Lorry collided onto rear of bus","","11/02/2015","W01072015","sfalpr04","13/01/2015 15:50","sfalad02","11/02/2015 16:22",""
"201500229","02","SW","06/01/2015 21:35","I","NAF","212","13/01/2015","1","31/01/2015","212","1","","2","tanjong kling rd B22081","tanjong kling road","1","1","1","1","16","42","3","1","5","70","75","0","0","0","N","Y","Y","N","Y","N","N","N","","t/2015","14","sbs9570M - LHS v/mirror glass cracked, BLRG","Approaching a/m bstop there was a grey lorry parked at the front of the bstop. Aft pax act I wanted to proceed out. I inched my vehicle to the right to overtake said lorry as it was obstructing. However upon turning right the lorry reversed andhit  onto the LHS v/mirror of my bus. I then overtook said lorry and stopped abt 20m away to avoid traffic obstruction. When I alighted from the bus lorry was nowhere to be found. I informed OCC. I did not note down lorry reg no. Pax transferred.I was instructed to wait for CRS.","(N)(N) Lorry collided onto bus while reversing","","","W01862015","sfalpr04","13/01/2015 15:53","sfalad02","13/02/2015 08:23",""
"201500231","02","SW","10/01/2015 11:50","Q","FAF","118","13/01/2015","1","13/02/2015","118","1","","1","boon lay way aft B20101","boon lay way","1","1","1","1","11","33","3","1","5","70","52","0","0","0","N","Y","Y","N","N","N","N","N","","","14","sbs2763U - LHS v/mirror dropped, SGRG","I was behind a SMRT bus SMB 116K aft exiting B20101. While swerving out my LHS v/mirror hit said bus causing damage to both vehicles. No injuries. That is all","(N)(Y) SBS bus collided onto SMRT bus","","","W01932015","sfalpr04","13/01/2015 15:55","sfalpr04","13/02/2015 09:48",""
"201500234","02","SW","10/01/2015 14:50","Q","FAF","118","13/01/2015","1","10/02/2015","118","1","","2","Alexandra Rd / Queensway","Queensway","1","1","1","1","2","22","1","1","2","70","54","0","0","0","N","Y","N","N","N","N","N","N","","","14","SBS6189B - Left rear panel scratches, mudguard bent out ( BMRG )","I was driving my bus coming from Alex Rd turning left into a slip rd dir to Queensway. At the slip I was at the 1st left left comply to ped t/light red light. And infront there were many m/cars queuing awaiting to turn into shopping ctr & when Isaw ped light had turned to green light & infront m/cars still stationary on seeing I then filtered my bus to the extremely right to overtake a stop car SBH3897T in doing so the left rear of my bus grazed against the right rear corner of said car.I alighted to check WOCC informed exchange particulars & cont my svc.","(N)(Y) Bus collided onto car while overtaking","","","W02182015","sfalpr04","13/01/2015 15:59","sfalpr04","10/02/2015 11:50",""
"201500235","02","SW","10/01/2015 19:05","Q","FAF","118","13/01/2015","1","09/02/2015","118","1","","2","Clementi Ave 2 slip rd C'wealth Ave West","Clementi Ave 2 slip rd C'wealt","1","2","1","1","11","22","2","1","5","71","54","0","1","0","N","Y","Y","N","Y","N","N","N","","j/2015","14","sbs3765H - LHS body scratches, JERG","I was driving alg Clementi ave 2. Upon reaching slip rd twds cwealth Ave West I saw a m/cycleFBB9720L overtook my bus and went ot he left side of the slip rd. I then slowed down at the give way line to wait for traffic to clear onCwealth Ave West. As I was moving off I did not notice the said m/cycle on the left. thus the left side of my bus grazed onto the m/cycle. I stoppedand alighted to check on said m/cyclist. I checked he is not injured. rider was with a pillion.they do not require AMB. Particulars exchanged. OCC informed. PAx transferred. I then OS back to JEI.","(N)(Y) Bus collided onto m/cycle","","11/02/2015","W02212015","sfalpr04","13/01/2015 16:00","sfalad02","11/02/2015 16:58",""
"201500244","02","SE","02/01/2015 19:00","I","NAF","402","14/01/2015","1","","121","1","","3","AMK AVE 1","AMK AVE 1","2","2","1","1","8","33","3","2","5","86","61","0","1","0","N","Y","N","N","Y","N","N","N","","F/2015","21","NO DMG","I was travelling along AMK Ave 1 filter lane towards Bishan Rd. There was a car in front of my bus suddenly stopped. I stepped brake immediately. A female passenger 50 yrs lost her balance and used her elbow to break her fall on the walkway. No visibvisible injury on her and she did not require medical attention. She alighted at Bishan Int. That s all.","(M)(N): Pax fell on board.","I was informed of the CFMS on 09/01/2015","","E02562015","sfalio02","14/01/2015 15:29","sfalio02","13/02/2015 10:03",""
"201500245","02","SE","05/01/2015 16:55","I","FAF","118","14/01/2015","1","10/02/2015","118","1","","3","TAMPINES INT.","TAMPINES INT.","3","1","1","1","3","37","4","1","5","70","67","0","0","0","N","Y","Y","N","N","N","N","N","","","21","NO DMG","I was reversing in Tampines int. when my bus hit another stationary bus (SBS3625D SVC 19) in the parking lot. No injury. That s all.","(M)(Y); Reversing SBS 7306Z collided onto unattended SBS 3625D","","","E01002015","sfalio02","14/01/2015 15:30","sfalio02","10/02/2015 11:20",""
"201500246","02","SE","05/01/2015 20:30","M","FAF","118","14/01/2015","1","10/02/2015","118","1","","3","BEDOK DEPOT REFUEL ISLAND","BEDOK","3","1","1","1","19","36","4","1","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","21","LEFT SIDE EXIT DOOR AND BODY DMG","My bus accidentally side swipe another stationary bus (SBS3829HOS) that was queueing at the refuel island in Bedok Depot. No injury. That s all.","(M)(Y): SBS 8685Y sideswipe SBS 3829H","TAC WAS DOWN ON 02/01/2015 & WEEKEND.","","E02702015","sfalio02","14/01/2015 15:31","sfalio02","10/02/2015 11:19",""
"201500247","02","SW","09/01/2015 09:19","I","FAF","102","14/01/2015","1","10/02/2015","102","1","","1","upp aljunied road","upp aljunied road","1","1","1","2","7","33","1","3","1","70","54","0","0","0","N","Y","Y","N","Y","N","N","N","","f/2015","21","sbs6703S -LHS v/mirror cracked, SGRG","I was approachnig t/light junctn when my bus grazed aagisnt the side of a lorry that ahd stopped at the junctn. No damage to lorry but my LHS mirror cracked. that is all. Veh no of lorry not noted down so had lodge police report.","(M)(Y): Bus left mirror hit rear of 3P lorry.","","","W02262015","sfalio02","14/01/2015 15:32","sfalio02","10/02/2015 11:23",""
"201500248","02","SW","09/01/2015 10:30","Q","FAF","102","14/01/2015","1","10/02/2015","102","1","","1","upp thomson rd X braddell Rd","upp thomson rd X braddell Rd","1","1","2","2","11","27","2","3","1","70","52","0","0","0","N","Y","Y","N","N","N","N","N","","","21","sbs6623P - front NS body panel, H/lamp, side w/screen cracked, HCRG","I was driving alg the centerlane of Upp Thomson Rd twds Thomson Rd. Reaching said jucntn I followed behind a carSFX9269K the t/light began to turn amber from green. It suddenly brake to stop. I swerved to the right to avoid. It was rainingand road surface is wet. It was too late as my front NS hit onto rear OS of said acr. OCC incormed. I was instructed to RTD. No injury. That is all.","(M)(Y): Bus hit rear of 3P car.","","","W01952015","sfalio02","14/01/2015 15:33","sfalio02","10/02/2015 11:33",""
"201500249","02","SE","09/01/2015 11:10","Q","FAF","118","14/01/2015","1","10/02/2015","118","1","","4","JALAN EUNOS","JALAN EUNOS","1","1","2","2","3","33","1","2","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","21","NO DMG","I was driving in the bus lane along Jalan Eunos. In front there was road work. Hence I had to filter to the 2nd lane on my right. There was a car ( number unknown) at the rear of my bus. Our vehicles side swipe. There was no damage to both vehicles.vehicles. As there was no damage to the car I did not take down the car numberdriver particulars and photos of the car. After that the driver called the hot line to complain. I did not know who was at fault. No injury. That s all.","(M)(Y): Bus sideswipe 3P car","","","E01992015","sfalio02","14/01/2015 15:34","sfalio02","10/02/2015 11:27",""
"201500251","02","SE","09/01/2015 18:38","Q","PAF","118","14/01/2015","1","10/02/2015","118","1","","2","At Kembangan Stn b/stop","Jalan Kembangan","1","1","1","1","9","33","2","3","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","21","SBS0993K, Left rear damaged","Before I could enter my bus into the said b/stop I noticed that there was illegal park van (GBC4608G) over there. While I passed an illegal park van I check my left v/mirror again discovered that my bus had sideswipe with the said vehicles.Immediately I stopped my bus and assess the damages. The said van sustained damaged on right front bumper. Bus resumed service after exchanged particulars with 3rd party. That’s all.","(M)(Y): Bus sideswipe 3P lorry.","10/1- Sat & 11/1- Sun","","E02372015","sfalio02","14/01/2015 15:36","sfalio02","10/02/2015 11:26",""
"201500252","02","SE","09/01/2015 19:15","Q","NAF","218","14/01/2015","1","10/02/2015","118","1","","2","PASIR RIS CENTRAL","PASIR RIS CENTRAL","1","1","1","1","8","33","3","2","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","21","NO DMG","I was driving along Pasir Ris Central in lane 1 . Suddenly a taxi(SH7890J) side swipe my bus while cutting into my lane from lane 2 on my left side. No injury. That s all.","(M)(N): 3P taxi sideswipe bus.","","","E02012015","sfalio02","14/01/2015 15:38","sfalio02","10/02/2015 11:34",""
"201500254","02","SW","10/01/2015 00:45","M","FAF","118","14/01/2015","1","10/02/2015","118","1","","2","BB bus park washing bay","BB bus park washing bay","3","1","1","1","20","47","3","1","5","85","73","0","0","0","N","Y","Y","N","N","N","N","N","","","21","sbs8202H - RHS rear v/mirror damage, SGRG","I was waiting for the washing to be completed when the brush hit onto the mirror and damaged it.","(M)(Y); Bus hit by washing machine brush.","BC reported to Rg on 12/01.","","W02442015","sfalio02","14/01/2015 15:40","sfalio02","10/02/2015 11:21",""
"201500256","02","SW","13/01/2015 13:25","C","NAF","402","14/01/2015","1","31/01/2015","402","1","","1","Farrer Road","Farrer Road _ LP 65","2","2","1","1","16","33","2","3","5","86","81","0","1","0","N","Y","N","N","Y","N","N","N","","J/2131","21","SBS2831G - No damaged ( BMRG )","On the extremely left lane Farrer Rd there were plastic cones & safety barriers were placed along the roadside. Due to this reason I need to filter my bus to right & was travelling encroaching to the ctr lane when I saw a car was beside my bus Ibraked gently I did not heard any noise onboard my bus. A pax f/ch came & informed me someone had fallen down.  I then stopped my bus at roadside to check & I saw a f/indian was assisted by some paxs. I approached her. She told me she wanted toalight. I checked with her whether she was hurt & she told me her left arm was pain & requested ambulance. Informed WOCC to activate ambulance. Tr paxs. MTI arr. Aft the injured pax had conveyed to Alex hospital by ambulance then IO arr. AfterIO had interview me OCC told me to halfway on svc to HBF Inter.","(M)(N); Pax fell on board.","","","W02592015","sfalio02","14/01/2015 15:43","sfalad02","11/02/2015 17:12",""
"201500264","02","SE","11/01/2015 14:40","C","NAF","402","15/01/2015","2","03/02/2015","402","1","","1","Blk 612 b/stop","Ang Mo Kio Ave 4","2","2","1","1","19","33","2","3","5","86","81","0","1","0","N","Y","Y","N","Y","N","N","N","","NP299","23","SBS5076A, No damaged","I was driving bus svc 268. I stopped the bus at the traffic light in front of Blk 612 and that there were about 10 pax in the bus. When the traffic light turned green I then stepped on the accelerator to drive into the b/stop bay.As I was accelerating I heard a shout and then a fall coming from inside the rear of the bus. I then stopped the bus to render assistance to an Indian lady in her 60s who was the one that fall earlier.I wanted to render assistance to her but she refused claiming that she was all right. I did not spot any visible injuries from her. After that she left the scene. That’s all.","(M)(N) : Elderly female passenger fall onboard.","","11/02/2015","E02492015","sfalio04","15/01/2015 09:50","sfalad02","11/02/2015 17:03",""
"201500265","02","SE","11/01/2015 15:35","C","NAF","221","15/01/2015","2","03/02/2015","221","1","","2","Near to Tampines Ikea","Tampines Ave 10","2","2","1","1","6","33","2","3","5","86","61","0","1","0","N","Y","N","N","Y","N","N","N","","NP299","23","SBS8751P, No damaged","I was driving bus svc 57 along Tampines Ave 10 while approaching the traffic light it turn red out of the sudden as such I had to jam my E-brake after which I heard a scream from a female subject who was standing beside me. I immediately turn aroundand ask what happened and she informed had a fall as such I quickly attend to her and apologized to her and explained to her that I had to perform the e-brake I also asked her if she needs any medical attention however she decline.I observed that there was no visible injury show on her. Thats all.","(M)(Y) : Passenger fall onboard.","","11/02/2015","E02662015","sfalio04","15/01/2015 09:57","sfalad02","11/02/2015 17:05",""
"201500270","02","SW","06/01/2015 20:59","C","NAF","222","15/01/2015","1","13/02/2015","222","1","","2","serangoon rd, Boon Keng MRT bstop","serangoon road","2","2","1","2","5","42","2","1","5","86","82","0","1","0","N","Y","Y","N","N","N","N","N","","","14","sbs8617U - SGRG","I was scheduled to drive SBS8617Usvc64 on 06/01/2015. there was no incident of pax being caught in btwn the doors throughout that trip. Bus operates as normal.","(N)(N) Pax alleged hit by door","bc reported to RG on 13/01. CMFS case. BC unaware of incident","11/02/2015","W02502015","sfalpr04","15/01/2015 11:45","sfalpr04","13/02/2015 10:36",""
"201500272","02","SE","10/01/2015 13:16","I","NAF","218","15/01/2015","1","13/02/2015","218","1","","1","Left turn Lrg 1 Geylang","Lrg 1 Geylang","1","1","1","1","16","27","2","3","1","70","54","0","0","0","N","Y","Y","N","Y","N","N","N","","NP168","14","SBS8515E, Right side mirror tilted","I was driving bus svc 26 along Geylang Lrg 1 going towards Sims Ave. There was abt 20 pax onboard my bus and when I was at the utmost left lane of Geylang Lrg 1 I felt a bang on the right front of my bus.I alighted from my bus and I noticed that a silver pickup (GBB186M) had collided onto my bus. My bus sustained right side mirror tilted. There was no damaged to the said lorry. Bus continued service after consulted CRS.Lorry driver refused to provide any particulars and left scene. Thats all.","(N)(N) Lorry collided onto bus","Was on duty.","","E02762015","sfalpr04","15/01/2015 11:49","sfalpr04","13/02/2015 10:36",""
"201500278","02","SE","05/01/2015 07:00","C","NAF","499","16/01/2015","3","16/02/2015","499","1","","1","B/S OPP BLK 293","PUNGGOL CENTRAL","2","1","2","2","5","42","2","1","5","86","74","0","0","0","N","Y","N","N","Y","N","N","N","","F/2015","26","SBS5051X NO DAMAGED (AMRG )","On 09/01/2015 at about 150hrs i was informed by my company that  a lady wrote a letter to my company to infomr about an incident which happened on 05/01/2015.   On 05/01/2015 at about 0700 i was driving my bus along the mention location when thehead of a baby hit onto the pole in the bus as she was unable to stability stand on the bus . I wish to inform no one had approached me in reagrds to this incident on the very day. Thats All","(M)(N) Pax's baby head hit onto a pole","i only know on the 09/01/2015 about this incident","","E02092015","edbdam04","16/01/2015 08:16","edbdam04","16/02/2015 09:15",""
"201500283","02","SW","11/01/2015 06:34","I","FAF","118","16/01/2015","1","13/02/2015","102","1","","1","upp sgoon road, aft B62189","upp serangoon road","3","1","1","1","2","33","3","1","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","14","sbs6080E - L.rear v/mirror damaged, SGRG     sbs6749K,svc317, rear w/screen cracked","I was on OS alg Upp Sgoon Rd twds SGI. There were 05 lanes. 1st lane was for traffic turning right. 2nd was for going straight. I was on the 2nd lane behind a taxi. On the 3rd lane was SBS6749Ksvc317. approaching junctn the taxi infront of mesuddenly swerved right to switch to the right laneand stopped with its rear jutting out into my lane. To avoid hitting its rear I swerved to the left thus causing an impact with the other SBS on my left then causing damage. no injuries. that is all","(N)(Y) SBS6080E collided onto SBS6749K","MC 12/01 and 13/01. bc reported to Rg on 14/01","","W02942015","sfalpr04","16/01/2015 11:16","sfalpr04","13/02/2015 10:33",""
